Descripción del alimento principal,Descripción de la categoría,Energía (kcal),Proteína (g),Carbohidratos (g),"Azúcares, totales
(gramo)",Fibra dietética total (g),Grasa total (g),"Ácidos grasos, saturados totales (g)","Ácidos grasos, monoinsaturados totales (g)",Ácidos grasos poliinsaturados totales (g),Colesterol (mg),Retinol (mcg),"Vitamina A, RAE (mcg_RAE)","Caroteno, alfa (mcg)","Caroteno, beta (mcg)","Criptoxantina, beta (mcg)",Licopeno (mcg),Luteína + zeaxantina (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B-6 (mg),Ácido fólico (mcg),"Folato, alimentos (mcg)","Folato, DFE (mcg_DFE)","Folato, total (mcg)","Colina, total (mg)",Vitamina B-12 (mcg),"Vitamina B-12, añadida
(mcg)",Vitamina C (mg),Vitamina D (D2 + D3) (mcg),Vitamina E (alfa-tocoferol) (mg),"Vitamina E, añadida
(mg)",Vitamina K (filoquinona) (mcg),Calcio (mg),Fósforo (mg),Magnesio (mg),"Hierro
(mg)","Zinc
(mg)",Cobre (mg),Selenio (mcg),Potasio (mg),Sodio (mg),Cafeína (mg),Teobromina (mg),Alcohol (gramos),"4:0
(gramo)","6:0
(gramo)","8:0
(gramo)","10:0
(gramo)","12:0
(gramo)","14:0
(gramo)","16:0
(gramo)","18:0
(gramo)","16:1
(gramo)","18:1
(gramo)","20:1
(gramo)","22:1
(gramo)","18:2
(gramo)","18:3
(gramo)","18:4
(gramo)","20:4
(gramo)","20:5 n-3
(gramo)","22:5 n-3
(gramo)","22:6 n-3
(gramo)","Agua
(gramo)"
pollo kung pao,"Platos combinados de pasta, excluye macarrones con queso",202,"5,92","15,03","0,68","1,9","13,7","4,267","4,327","3,29",24,51,51,0,3,0,0,45,"0,086","0,09","2,24","0,083",0,11,11,11,"11,2","0,11",0,"0,1","0,2","1,54",0,"7,6",32,100,30,"0,93","0,94","0,119","20,5",85,563,0,0,0,"0,115","0,092","0,057","0,135","0,16","0,514","2,287","0,735","0,141","4,269","0,061","0,001","2,86","0,344",0,"0,016","0,002","0,004",0,"63,6"
Pollo o pavo a la king con verduras como zanahorias,"Platos combinados de pasta, excluye macarrones con queso",172,"6,11","15,93","0,73",2,"9,9","4,197","2,715",1269,24,52,53,0,3,0,0,48,"0,088","0,094","2,042","0,084",0,12,12,12,"12,8","0,26",0,"0,1","0,2","0,59",0,"2,8",34,100,31,"1,1","1,34","0,124","21,3",90,387,0,0,0,"0,122","0,098","0,061","0,143","0,17","0,579","2,102","0,758","0,157",2646,"0,03",0,1061,"0,123",0,"0,013","0,001","0,003",0,"66,7"
Pollo o pavo a la king con verduras,"Platos combinados de pasta, excluye macarrones con queso",160,"6,24","16,28","0,74",2,"8,27",4043,1991,"0,586",25,53,54,0,3,0,0,49,"0,09","0,096",2087,"0,086",0,12,12,12,"13,1","0,27",0,"0,1","0,2","0,25",0,1,35,103,31,"1,12","1,37","0,127","21,8",92,252,0,0,0,"0,124","0,1","0,062","0,146","0,173","0,591",1971,"0,722","0,154","1,94","0,018",0,"0,455","0,045",0,"0,013","0,001","0,003",0,"68,18"
Pollo o pavo a la parmesana,"Platos combinados de pasta, excluye macarrones con queso",209,"5,76","15,03","0,68","1,9","14,48",4646,4735,"3,167",23,49,50,0,3,0,0,45,"0,083","0,089",1927,"0,08",0,11,11,11,"12,1","0,25",0,"0,1","0,2","1,53",0,"7,8",32,95,29,"1,05","1,26","0,117","20,1",85,564,0,0,0,"0,115","0,092","0,057","0,135","0,16","0,549",2476,"0,863","0,166",4614,"0,063","0,001","2,745","0,34",0,"0,012","0,001","0,003",0,"62,94"
Pollo o pavo agridulce,"Platos combinados de pasta, excluye macarrones con queso",147,"5,95","16,55","0,74",2,"6,89",3483,1328,"0,586",31,60,60,0,3,0,0,49,"0,087","0,084",1681,"0,054",0,12,12,12,"14,4","0,9",0,"0,3","0,2","0,34",0,"0,8",42,109,33,"1,12","0,94","0,135","24,3",97,262,0,0,0,"0,124","0,1","0,062","0,146","0,172","0,549",1658,"0,548","0,102",1366,"0,014",0,"0,425","0,042","0,001","0,012","0,018","0,006","0,016","69,46"
Pollo o pavo con albóndigas,"Platos combinados de pasta, excluye macarrones con queso",197,"5,5","15,28","0,68","1,9","13,2","4,129","4,123","3,167",28,55,56,0,3,0,0,45,"0,08","0,078",1551,"0,05",0,11,11,11,"13,3","0,83",0,"0,2","0,2","1,61",0,"7,6",39,101,30,"1,04","0,86","0,125","22,4",90,573,0,0,0,"0,115","0,092","0,057","0,135","0,159","0,51","2,186","0,703","0,118",4084,"0,059","0,001","2,717","0,337","0,001","0,011","0,016","0,005","0,015","64,12"
Pollo o pavo con relleno,"Platos combinados de pasta, excluye macarrones con queso",160,"5,82","16,19","0,73",2,"8,55",3649,2067,1269,30,59,59,0,3,0,0,48,"0,085","0,082",1644,"0,053",0,12,12,12,"14,1","0,88",0,"0,2","0,2","0,68",0,"2,6",41,107,32,"1,1","0,92","0,132","23,8",95,397,0,0,0,"0,122","0,098","0,061","0,143","0,169","0,538",1796,"0,588","0,106",2084,"0,026",0,1032,"0,12","0,001","0,011","0,017","0,006","0,016","67,96"
Pollo o pavo con salsa de champiñones,"Platos combinados de pasta, excluye macarrones con queso",149,"4,01","16,5","1,06","2,1","8,12",3443,1984,1227,16,49,53,1,47,11,0,104,"0,089","0,102",1804,"0,071",0,15,15,15,7,"0,03",0,5,"0,2","0,62",0,"3,1",32,89,31,"0,93","0,83","0,138","20,2",97,342,0,0,0,"0,114","0,092","0,057","0,135","0,159","0,506",1701,"0,552","0,098",2005,"0,025",0,1032,"0,121",0,"0,009","0,001","0,003",0,"70,1"
Pollo o pavo con salsa de crema,"Platos combinados de pasta, excluye macarrones con queso",136,"4,1","16,87","1,08","2,2","6,44",3272,1243,"0,543",16,50,55,1,48,11,0,107,"0,091","0,104",1844,"0,072",0,15,15,15,"7,1","0,03",0,"5,1","0,2","0,28",0,"1,3",32,91,31,"0,95","0,84","0,141","20,7",99,206,0,0,0,"0,117","0,094","0,059","0,138","0,162","0,516",1561,"0,511","0,093",1285,"0,013",0,"0,425","0,043",0,"0,009","0,001","0,003",0,"71,65"
Pollo o pavo con salsa de queso,"Platos combinados de pasta, excluye macarrones con queso",187,"3,79","15,57",1,2,"12,79",3934,4045,3128,15,46,50,1,45,10,0,99,"0,084","0,096",1702,"0,067",0,14,14,14,"6,6","0,02",0,"4,7","0,2","1,56",0,8,30,84,29,"0,88","0,78","0,13","19,1",92,521,0,0,0,"0,108","0,087","0,054","0,127","0,15","0,48",2097,"0,668","0,11",4009,"0,058","0,001","2,717","0,338",0,"0,008","0,001","0,003",0,"66,14"
Pollo o pavo con teriyaki,"Platos combinados de pasta, excluye macarrones con queso",154,"6,26","16,27","0,93","2,1","7,76",3034,2002,1357,21,41,45,1,39,9,0,94,"0,095","0,109",2543,"0,102",0,14,14,15,"12,4","0,12",0,"4,1","0,2","0,61",0,"2,9",29,106,32,"1,01",1,"0,143","22,1",114,337,0,0,0,"0,093","0,075","0,047","0,11","0,13","0,416",1553,"0,5","0,108",1988,"0,025",0,"1,161","0,126",0,"0,015","0,001","0,003",0,"68,5"
Pollo o pavo y arroz con salsa a base de soja,"Platos combinados de pasta, excluye macarrones con queso",141,"6,39","16,63","0,95","2,2","6,08",2854,1261,"0,676",22,42,46,1,39,9,0,96,"0,097","0,112","2,599","0,104",0,15,15,15,"12,6","0,12",0,"4,2","0,2","0,28",0,"1,1",29,109,33,"1,03","1,02","0,146","22,6",116,201,0,0,0,"0,095","0,077","0,048","0,112","0,132","0,424","1,41","0,458","0,104",1267,"0,013",0,"0,557","0,048",0,"0,015","0,001","0,003",0,"70,02"
Pollo o pavo y arroz con salsa a base de tomate,"Platos combinados de pasta, excluye macarrones con queso",192,"5,9","15,35","0,88",2,"12,45",3548,4062,"3,25",20,39,42,1,36,8,0,89,"0,09","0,103","2,399","0,096",0,14,14,14,"11,7","0,11",0,"3,9","0,2","1,55",0,"7,9",28,100,31,"0,96","0,95","0,135","20,9",107,516,0,0,0,"0,088","0,071","0,044","0,104","0,122","0,395",1957,"0,62","0,12",3993,"0,058","0,001",2839,"0,343",0,"0,014","0,001","0,003",0,"64,64"
Pollo o pavo y arroz con salsa de champiñones,"Platos combinados de pasta, excluye macarrones con queso",149,"6,22","16,63","0,95","2,2","6,92",3265,1704,"0,542",21,41,45,1,39,9,0,96,"0,094","0,11","2,26","0,101",0,15,15,15,"13,7","0,27",0,"4,2","0,2","0,26",0,"1,2",30,103,32,"1,16","1,38","0,144","22,2",117,202,0,0,0,"0,095","0,077","0,048","0,112","0,133","0,463",1614,"0,597","0,132",1641,"0,016",0,"0,432","0,043",0,"0,011","0,001","0,002",0,"69,31"
Pollo o pavo y arroz con salsa de crema,"Platos combinados de pasta, excluye macarrones con queso",199,"5,74","15,35","0,88",2,"13,23",3928,4471,"3,126",19,38,41,1,36,8,0,89,"0,087","0,101",2086,"0,093",0,14,14,14,"12,6","0,24",0,"3,9","0,1","1,54",0,8,28,95,30,"1,08","1,27","0,133","20,5",108,517,0,0,0,"0,088","0,071","0,044","0,103","0,123","0,431","2,146","0,748","0,145",4338,"0,061","0,001","2,724","0,339",0,"0,01","0,001","0,002",0,"63,98"
Pollo o pavo y arroz,"Platos combinados de pasta, excluye macarrones con queso",163,"4,04","16,09","0,81",2,"9,74","4,38","2,329","1,28",21,64,64,0,4,0,0,48,"0,084","0,085",1596,"0,053",0,11,11,11,"6,3","0,03",0,"0,1","0,2","0,6",0,"2,7",38,88,29,"0,89","0,82","0,118","19,7",67,402,0,0,0,"0,15","0,121","0,075","0,176","0,207","0,66","2,131","0,701","0,126","2,364","0,027",0,"1,06","0,123",0,"0,011","0,002","0,004",0,"68,74"
Pollo o pavo y fideos con crema o salsa blanca,"Platos combinados de pasta, excluye macarrones con queso",136,"5,93","16,89","0,95","2,2","5,54","2,704",1041,"0,542",27,47,51,1,39,9,0,96,"0,091","0,098",1853,"0,069",0,15,15,15,"14,9","0,9",0,"4,4","0,2","0,35",0,"1,1",37,110,34,"1,15","0,94","0,152","24,7",122,212,0,0,0,"0,095","0,077","0,048","0,112","0,132","0,42","1,3","0,424","0,079",1067,"0,012",0,"0,402","0,04","0,001","0,01","0,017","0,005","0,016","70,59"
Pollo o pavo y fideos con salsa,"Platos combinados de pasta, excluye macarrones con queso",187,"5,48","15,59","0,88",2,"11,95","3,41",3858,"3,127",25,44,47,1,36,8,0,89,"0,084","0,09",1711,"0,064",0,14,14,14,"13,8","0,83",0,4,"0,1","1,62",0,"7,9",35,101,31,"1,08","0,87","0,141","22,8",112,526,0,0,0,"0,088","0,071","0,044","0,103","0,122","0,391",1857,"0,588","0,096",3809,"0,057","0,001","2,696","0,335","0,001","0,009","0,016","0,005","0,015","65,17"
Pollo o pavo y fideos con salsa a base de soja,"Platos combinados de pasta, excluye macarrones con queso",150,"4,13","16,44","0,82",2,"8,11","4,23",1596,"0,597",21,66,66,0,4,0,0,49,"0,086","0,087",1631,"0,054",0,12,12,12,"6,5","0,03",0,"0,1","0,3","0,26",0,"0,9",38,90,30,"0,9","0,84","0,121","20,1",69,268,0,0,0,"0,153","0,123","0,077","0,18","0,212","0,674",2001,"0,663","0,122",1652,"0,016",0,"0,454","0,045",0,"0,011","0,002","0,004",0,"70,26"
Pollo o pavo y fideos con salsa a base de tomate,"Platos combinados de pasta, excluye macarrones con queso",200,"3,81","15,18","0,76","1,9","14,32",4818,4371,3177,19,60,61,0,4,0,0,45,"0,08","0,08",1506,"0,05",0,11,11,11,6,"0,03",0,"0,1","0,2","1,54",0,"7,7",36,83,28,"0,84","0,77","0,111","18,6",63,578,0,0,0,"0,141","0,114","0,071","0,166","0,196","0,625",2503,"0,809","0,136","4,348","0,061","0,001","2,744","0,34",0,"0,01","0,002","0,004",0,"64,86"
Pollo o pavo y fideos con salsa de champiñones,"Platos combinados de pasta, excluye macarrones con queso",162,"6,09","16,27","0,93","2,1","8,58",3436,"2,435",1226,20,40,44,1,39,9,0,94,"0,092","0,107","2,211","0,099",0,15,15,15,"13,4","0,26",0,"4,1","0,2","0,6",0,3,29,101,32,"1,14","1,35","0,141","21,8",115,338,0,0,0,"0,093","0,075","0,047","0,109","0,13","0,454",1753,"0,637","0,135",2354,"0,027",0,1039,"0,121",0,"0,011","0,001","0,002",0,"67,81"
Pollo o pavo y fideos con salsa de queso,"Platos combinados de pasta, excluye macarrones con queso",149,"5,8","16,53","0,93","2,1","7,23",2888,1786,1226,26,46,50,1,39,9,0,94,"0,089","0,095",1813,"0,067",0,14,14,14,"14,6","0,88",0,"4,3","0,2","0,69",0,"2,9",36,107,33,"1,13","0,92","0,149","24,2",119,348,0,0,0,"0,093","0,075","0,047","0,109","0,13","0,412",1446,"0,467","0,083",1792,"0,024",0,1009,"0,118","0,001","0,009","0,017","0,005","0,016","69,06"
Pollo o pavo y fideos,"Pasta, fideos, cereales cocidos.",157,"5,76","30,68","0,56","1,8","0,92","0,175","0,13","0,324",0,0,0,0,0,0,0,7,"0,272","0,135",1679,"0,049",66,7,118,73,"6,4",0,0,0,0,"0,06",0,0,7,58,18,"1,27","0,51","0,099","26,2",44,232,0,0,0,0,0,0,0,"0,006","0,006","0,148","0,014",0,"0,13",0,0,"0,293","0,024",0,0,0,0,0,"61,76"
Pollo o pavo y patatas con salsa,"Pasta, fideos, cereales cocidos.",148,"5,95","29,89","0,75","3,9","1,7","0,242","0,175","0,571",0,0,0,0,2,0,0,93,"0,155","0,098","3,107","0,092",0,21,21,21,"6,5",0,0,0,0,"0,23",0,"0,6",13,126,54,"1,71","1,33","0,224","36,1",95,235,0,0,0,0,0,0,0,0,"0,004","0,206","0,021","0,002","0,167","0,006",0,"0,535","0,036",0,0,0,0,0,"61,43"
Pollo o pavo y verduras,"Pasta, fideos, cereales cocidos.",179,"3,2","38,05",0,"1,4",1,"0,15","0,259","0,329",0,0,4,21,32,0,0,539,"0,05","0,079","0,24","0,037",0,4,4,4,"1,7",0,0,0,0,0,0,0,2,33,11,"0,22","0,27","0,02","2,2",24,4,0,0,0,0,0,0,0,0,"0,005","0,106","0,029","0,001","0,155","0,003",0,"0,315","0,013",0,0,"0,002",0,0,"57,67"
Pollo o pavo,platos combinados de carne,315,"12,81","22,03","11,4","2,1","20,22",4894,8512,"4,72",125,42,79,208,335,3,2006,301,"0,095","0,235","2,432","0,278",0,29,29,29,"102,1","0,8",0,"13,1","0,7","2,58",0,"39,2",34,160,42,"1,9","2,31","0,13","15,6",554,584,0,0,0,0,0,0,"0,002","0,008","0,192","3,123",1386,"0,35",8003,"0,085",0,"4,112","0,497",0,"0,021","0,001","0,004",0,"42,08"
Pollo teriyaki con arroz y verduras,"Galletas saladas, excluye las saladas",384,"9,7","80,1","0,72","2,9","3,1","0,48","0,92","1,35",0,0,4,21,33,0,0,537,"0,075","0,178",6006,"0,181",0,18,18,18,"22,4",0,0,0,0,"0,29",0,"1,1",9,277,159,"1,87","3,99","0,569","9,9",327,288,0,0,0,0,0,0,0,0,0,"0,42","0,05","0,01","0,91",0,0,"1,31","0,04",0,0,0,0,0,5
Pollo y verduras gratinadas con arroz,platos combinados de carne,123,"7,64","8,72","1,88","1,5","6,3","2,67","2,362","0,479",27,22,79,203,581,0,1277,156,"0,076","0,105",1972,"0,176",0,12,12,12,"30,7","0,69",0,2,"0,1","0,33",0,"3,9",26,87,15,"0,93","1,69","0,055","6,2",250,264,0,0,0,"0,036","0,028","0,018","0,047","0,055","0,279",1438,"0,676","0,188","2,07","0,017",0,"0,397","0,058",0,"0,014","0,001","0,003",0,"76,09"
pollo,Pasteles y tartas,270,"6,39",42,"33,37","0,3","8,67",4677,"2,259","0,584",81,90,90,0,6,2,0,72,"0,127","0,284","0,763","0,041",11,14,32,24,"67,9","0,26",0,1,1,"0,31",0,"0,6",135,145,16,"0,94","0,66","0,025","10,5",193,71,0,0,0,"0,177","0,126","0,072","0,13","0,182","0,669","2,23","0,893","0,161","2,186","0,007",0,"0,407","0,06",0,"0,006","0,001","0,002",0,"41,95"
Pollo,Platos combinados de arroz,279,"2,49","53,57","31,12","0,7","6,51","5,48","0,379","0,17",0,0,0,0,0,0,0,0,"0,023","0,006","0,52","0,017",0,5,5,5,"2,9",0,0,"0,3",0,"0,07",0,0,23,55,16,"0,52","0,49","0,124","3,2",85,36,0,0,0,0,"0,035","0,424","0,337",2688,1064,"0,608","0,321","0,001","0,377",0,0,"0,152","0,018",0,0,0,0,0,"36,92"
Pomelo,Pasteles y tartas,382,"6,12","47,52","32,34",2,"19,85",4078,8127,6429,43,19,19,0,0,1,0,54,"0,084","0,224",2653,"0,094",11,24,42,35,"39,9","0,11",0,0,"0,3","3,13",0,"9,8",74,177,42,"1,4","0,77","0,178","5,1",158,332,6,51,0,0,0,0,0,0,"0,022",2586,"0,915","0,101","7,82","0,12","0,007",5859,"0,495",0,"0,003",0,0,0,"24,57"
Ponche de champán,Pasteles y tartas,347,"3,07","52,57","38,36","1,2","15,06",4036,6785,3163,43,19,19,0,0,1,0,54,"0,066","0,112","0,673","0,03",11,9,28,20,"32,7","0,11",0,0,"0,3","2,02",0,"5,9",71,152,19,"1,57","0,42","0,155","4,6",133,305,3,59,0,0,0,0,0,0,"0,059","2,215",1738,"0,044",6701,"0,034",0,"2,86","0,264",0,0,0,0,0,"27,57"
Ponche de frutas,Pasteles y tartas,379,"2,47","53,07","39,6",1,"17,51","3,2",6281,6938,47,20,21,1,2,3,0,61,"0,063","0,228","0,699","0,046",10,12,30,23,"33,7","0,12",0,1,"0,3","2,66",0,"15,2",71,111,8,"0,88","0,27","0,032","4,4",75,280,0,0,0,0,0,0,0,0,"0,023",2438,"0,662","0,135",6078,"0,058",0,6131,"0,764",0,0,0,0,0,"25,45"
Ponche de huevo,Pasteles y tartas,410,"4,87","37,93","34,01","2,4","29,42",16189,7978,1286,141,176,179,0,30,5,0,129,"0,038","0,135","0,175","0,029",0,19,19,19,"77,1","0,2",0,0,"0,7","0,36",0,"3,6",29,102,50,"1,7","0,98","0,29","9,3",186,119,25,199,0,"0,364","0,257","0,15","0,343","0,393",1293,7357,5622,"0,261",7546,"0,021","0,001","1,123","0,09","0,003","0,019","0,004","0,007",0,"26,66"
Pone de maíz,Pasteles y tartas,374,"2,49","51,8","38,49","1,1","17,52","3,192",6279,6941,47,20,100,330,788,3,0,84,"0,064","0,237","0,773","0,039",10,15,32,25,"33,6","0,12",0,"0,5","0,3","2,71",0,"16,5",73,112,6,"0,9","0,28","0,029","4,4",74,288,0,0,0,0,0,0,0,0,"0,022","2,43","0,662","0,134",6077,"0,058",0,6136,"0,762",0,0,0,0,0,"26,69"
pop congelador,platos combinados de mariscos,206,"15,33","2,65","0,49","0,2","14,92","2,446","4,415",7186,71,30,30,0,1,2,0,51,"0,054","0,109",7274,"0,222",2,10,13,12,"53,4","1,76",0,"0,3","1,1","1,65",0,"23,1",25,124,19,"1,53","0,66","0,047","52,5",155,372,0,0,0,"0,001",0,0,"0,001",0,"0,02",1681,"0,613","0,063",4272,"0,062","0,002",6149,"0,817","0,001","0,021","0,018","0,003","0,141","65,71"
popover,platos combinados de mariscos,285,"16,07","4,46","0,65","0,3","22,1",4046,6598,9148,83,51,51,0,1,2,0,54,"0,165","0,161",6148,"0,406",4,23,30,27,"95,7","2,24",0,"1,9","7,7","3,37",0,23,23,198,22,"0,71","0,48","0,052","22,3",282,404,0,0,0,0,0,0,0,0,"0,335",2665,"0,863","0,495",5807,"0,269","0,01",6613,"0,905","0,075","0,056","0,48","0,213","0,63","55,68"
Postre de arroz o ensalada con fruta,Pasteles y tartas,410,"2,66","56,41","42,24","0,9","19,43",3543,6975,7701,52,23,23,0,1,3,0,66,"0,065","0,253","0,71","0,029",11,13,32,24,"36,4","0,13",0,0,"0,3","2,94",0,"16,9",78,121,5,"0,98","0,29","0,025","4,9",51,311,0,0,0,0,0,0,0,0,"0,025","2,697","0,735","0,149",6751,"0,064",0,6807,"0,846",0,0,0,0,0,"19,91"
postre de gelatina,Pasteles y tartas,352,"2,84","53,6","39,53",1,"14,77","3,47",5853,4451,43,19,19,0,0,1,0,54,"0,066","0,176","0,696","0,028",11,10,30,22,"31,7","0,11",0,0,"0,3","2,01",0,"8,8",70,138,15,"1,3","0,37","0,114","4,5",98,304,3,43,0,0,0,0,0,0,"0,04","2,21",1184,"0,083",5729,"0,034",0,3968,"0,445",0,0,0,0,0,"27,13"
Postre de gelatina con fruta,Pasteles y tartas,276,"3,64","45,34","28,3",1,"9,16",2351,5013,1238,32,14,14,0,1,2,0,41,"0,17","0,162",1392,"0,027",16,10,37,26,"27,2","0,06",0,"0,1","0,2","0,2",0,"3,9",62,152,14,"2,98","0,32","0,154","3,7",217,411,0,0,0,0,0,0,"0,001","0,001","0,044","1,27",1054,"0,019",5008,0,0,"1,131","0,056",0,0,0,0,0,"40,05"
Postre de gelatina,Pasteles y tartas,300,"2,82","37,95","15,49","2,5","15,52","5,36",6457,"2,147",7,38,40,0,30,0,0,31,"0,135","0,081",1614,"0,101",20,11,44,31,"8,4",0,0,"1,1","0,1","0,79",0,"12,7",13,39,9,"1,21","0,24","0,055","2,8",71,217,0,0,0,"0,061","0,043","0,025","0,059","0,069","0,325","2,938",1705,"0,196",6167,"0,07",0,1938,"0,166",0,"0,011","0,001","0,001",0,"42,96"
Postre helado,Pasteles y tartas,269,"4,96","41,08","25,16","1,3","9,75",4069,3765,"0,992",47,44,189,0,1748,1,0,43,"0,1","0,193","0,988","0,096",9,17,33,27,"53,4","0,18",0,"10,3","0,3","0,6",0,"2,6",90,115,19,"1,06","0,51","0,074","8,1",242,269,0,0,0,"0,099","0,061","0,036","0,043","0,074","0,347","2,134",1138,"0,147",3546,"0,032",0,"0,875","0,068",0,"0,005",0,"0,001",0,"42,7"
Potato tots,Pasteles y tartas,306,"3,16","39,53","16,49","3,6","15,43",5343,6435,"2,132",7,38,42,0,48,0,0,54,"0,133","0,085",1923,"0,102",20,23,56,43,10,0,0,"1,4","0,1","1,1",0,"14,2",23,47,17,"1,49","0,32","0,094",3,110,217,0,0,0,"0,061","0,043","0,025","0,059","0,069","0,325","2,928","1,7","0,195",6145,"0,071",0,1937,"0,153",0,"0,011","0,001","0,001",0,"40,99"
Pretzels blandos,Pasteles y tartas,290,"5,4",61,"36,66","0,5","2,7","0,802","0,949","0,448",102,44,44,1,4,2,0,85,"0,243","0,269",1932,"0,052",34,13,71,47,"37,1","0,24",0,0,"0,2","0,24",0,"0,2",70,137,11,"2,72","0,51","0,062","9,1",99,623,0,0,0,"0,001",0,"0,001","0,001","0,001","0,011","0,58","0,193","0,073","0,867","0,007","0,001","0,389","0,015",0,"0,034","0,001",0,"0,009","29,7"
Pretzels,Pasteles y tartas,249,"4,76","36,34","24,55","1,7","9,78","4,107",3776,"0,967",47,44,327,1744,2530,1,0,43,"0,095","0,192","0,852","0,047",9,15,31,25,"52,2","0,18",0,"2,2","0,3","0,62",0,"7,6",91,110,19,"1,24","0,51","0,062",8,204,252,0,0,0,"0,099","0,061","0,036","0,043","0,076","0,354","2,158","1,14","0,154","3,55","0,032",0,"0,851","0,066",0,"0,005",0,"0,001",0,"47,77"
Proteína vegetal texturizada,"Donuts, panecillos dulces, bollería.",371,"5,4","47,8","27,53","1,9","18,5","4,86",10026,"2,364",114,15,15,0,1,1,0,49,"0,263","0,22",1992,"0,043",31,16,68,47,"21,8","0,09",0,"3,9",0,"0,34",0,"5,3",46,89,15,"1,77","0,54","0,065","14,8",83,445,0,0,0,"0,001",0,0,0,0,"0,088",2668,2096,"0,069","9,947","0,008",0,"2,184","0,108","0,004","0,038","0,019",0,"0,012","27,1"
Pudín de chocolate elaborado con mezcla seca,"Donuts, panecillos dulces, bollería.",374,8,"37,2","6,95",1,"21,9",6794,11313,2575,23,34,35,0,8,0,0,38,"0,19","0,26",2,"0,04",35,25,85,60,"20,1","0,2",0,"0,1",0,"0,35",0,"6,9",35,108,15,"1,8","0,7","0,089","18,9",98,417,0,0,0,"0,096","0,028","0,033","0,075","0,084","0,372",3403,2646,"0,058","11,226","0,004",0,"2,41","0,139",0,"0,01",0,0,"0,001","31,4"
Pudín de chocolate,"Donuts, panecillos dulces, bollería.",403,7,"44,6","19,78","1,3","22,4",5681,"12,515","2,933",21,6,6,0,2,1,0,52,"0,3","0,263",2867,"0,038",35,33,92,68,"21,8","0,1",0,"0,1",0,"0,39",0,"9,4",71,107,19,"1,96","0,72","0,1",17,125,414,0,0,0,0,0,0,0,0,"0,109","2,961","2,602","0,022",12491,"0,001",0,"2,772","0,148","0,001","0,007","0,003",0,"0,002","24,3"
pudín de fideos,"Donuts, panecillos dulces, bollería.",371,"5,4","47,8","27,53","1,9","18,5","4,86",10026,"2,364",114,15,15,0,1,1,0,49,"0,263","0,22",1992,"0,043",31,16,68,47,"21,8","0,09",0,"3,9",0,"0,34",0,"5,3",46,89,15,"1,77","0,54","0,065","14,8",83,445,0,0,0,"0,001",0,0,0,0,"0,088",2668,2096,"0,069","9,947","0,008",0,"2,184","0,108","0,004","0,038","0,019",0,"0,012","27,1"
Pudín de tapioca,Empanadas y otros artículos a base de cereales,341,"11,46","30,89","4,63","1,1","19,18",7561,6256,2753,74,94,95,1,15,1,0,30,"0,427","0,269",4234,"0,107",32,28,83,60,"42,1","0,43",0,0,"0,8","0,81",0,"2,7",61,131,18,"2,34","1,32","0,081","14,3",190,398,0,0,0,"0,185","0,134","0,08","0,193","0,219","0,788",4093,1667,"0,315",5759,"0,128","0,002","2,425","0,167","0,001","0,058","0,003","0,011","0,004","36,78"
Pudín para bebés pequeños,"Donuts, panecillos dulces, bollería.",339,"8,59","56,98","30,54","2,2","8,61","2,327",2861,"2,256",226,81,83,6,18,7,0,241,"0,286","0,252",1933,"0,093",29,59,108,87,147,"0,35",0,"0,2","1,2","1,37",0,"4,6",39,136,19,"2,6","0,89","0,091",18,123,545,0,0,0,0,0,"0,002","0,002","0,002","0,022",1676,"0,577","0,182","2,642","0,027","0,002",1958,"0,166",0,"0,075","0,002",0,"0,019","23,75"
Pudín,"Donuts, panecillos dulces, bollería.",340,"6,99","68,1","36,49","2,7","4,45","0,841",1036,1847,49,21,22,0,3,2,0,66,"0,315","0,212","2,313","0,044",35,48,107,82,"42,3","0,1",0,"0,2","0,3","0,49",0,"5,4",19,83,22,"2,56","0,6","0,093","10,2",125,87,0,0,0,0,0,0,0,0,"0,006","0,61","0,199","0,031","0,985","0,015",0,1625,"0,178",0,0,0,0,0,"19,81"
Pudines,"Donuts, panecillos dulces, bollería.",434,"7,75","59,25","15,68","3,7","18,11","4,164",6117,6204,0,0,0,0,1,1,0,10,"0,45","0,268","4,167","0,057",67,13,126,80,"7,5",0,0,0,0,"2,02",0,"17,6",145,194,21,"3,5","0,52","0,101","21,1",121,659,0,0,0,0,0,0,0,"0,005","0,037",2583,1393,"0,043","5,97","0,094",0,5525,"0,673",0,0,0,0,0,"12,54"
puerros,"Donuts, panecillos dulces, bollería.",397,"5,97","35,48","12,88",1,"25,7",7131,9024,6559,104,114,117,3,22,3,0,86,"0,285","0,228",1895,"0,074",26,23,67,49,"61,1","0,31",0,1,"0,9","3,37",0,"16,2",74,110,14,"1,82","0,61","0,059","9,5",127,67,0,0,0,"0,189","0,135","0,08","0,184","0,212","0,697",4034,"1,33","0,23",8612,"0,122","0,002",5806,"0,715","0,001","0,043","0,003","0,004","0,009","32,1"
